,isocode,educ,rank_educ,country
607,BEN,30.020984649658203,137,Benin
608,BFA,30.35152816772461,136,Burkina Faso
609,BGD,40.59353256225586,119,Bangladesh
610,BGR,63.30362701416016,41,Bulgaria
611,BHR,59.74676513671875,62,Bahrain
612,BLR,63.37545394897461,40,Belarus
613,BLZ,52.25726318359375,94,Belize
614,BOL,53.32194137573242,88,Bolivia
615,BRA,54.71077728271485,83,Brazil
616,BWA,55.84055709838867,77,Botswana
617,CAF,19.09959983825684,148,Central African Republic
618,CAN,77.59899139404297,11,Canada
619,CHE,80.26716613769531,2,Switzerland
620,CHL,64.38607788085938,37,Chile
621,CHN,65.40585327148438,33,China
622,CIV,27.66836929321289,139,Ivory Coast
623,CMR,42.718597412109375,115,Cameroon
624,COD,26.39998817443848,140,Democratic Republic of Congo
625,COG,39.8751335144043,121,Congo
626,COL,55.895729064941406,76,Colombia
627,COM,30.900928497314453,134,Comoros
628,CRI,60.61454391479492,56,Costa Rica
629,CYP,62.715633392333984,43,Cyprus
630,CZE,69.95987701416016,24,Czech Republic
631,DEU,75.85150909423828,14,Germany
632,DJI,52.49584197998047,92,Djibouti
633,DNK,77.51445770263672,12,Denmark
634,DOM,50.25607299804688,102,Dominican Republic
635,DZA,53.21696472167969,89,Algeria
636,ECU,55.24740982055664,79,Ecuador
637,EGY,51.656097412109375,99,Egypt
638,ESP,71.8878173828125,22,Spain
639,EST,66.57207489013672,31,Estonia
640,ETH,37.66510772705078,125,Ethiopia
641,FIN,78.55352783203125,8,Finland
642,FRA,73.96298217773438,19,France
643,GAB,48.71060562133789,105,Gabon
644,GBR,76.71099090576172,13,United Kingdom
645,GEO,60.85367202758789,55,Georgia
646,GHA,45.6647834777832,112,Ghana
647,GIN,23.724159240722656,145,Guinea
648,GRC,59.68007278442383,64,Greece
649,GTM,49.61954498291016,103,Guatemala
650,GUY,52.15288543701172,96,Guyana
651,HKG,73.27649688720703,21,Hong Kong
652,HND,52.14019393920898,97,Honduras
653,HRV,64.7514877319336,36,Croatia
654,HUN,65.13554382324219,35,Hungary
655,IDN,56.78130340576172,72,Indonesia
656,IND,48.29450988769531,108,India
657,IRL,78.80462646484375,5,Ireland
658,IRN,58.60199737548828,68,Iran
659,IRQ,37.06990051269531,126,Iraq
660,ISL,68.09259796142578,27,Iceland
661,ISR,74.5971450805664,18,Israel
662,ITA,70.32173919677734,23,Italy
663,JAM,54.51462173461914,84,Jamaica
664,JOR,55.15009689331055,80,Jordan
665,JPN,73.55237579345703,20,Japan
666,KAZ,63.75899887084961,39,Kazakhstan
667,KEN,48.309532165527344,107,Kenya
668,KGZ,56.649147033691406,73,Kyrgyzstan
669,KHM,54.00852584838867,85,Cambodia
670,KOR,74.7362060546875,17,South Korea
671,KWT,53.33585739135742,87,Kuwait
672,LAO,48.52490615844727,106,Laos
673,LBN,51.43751525878906,101,Lebanon
674,LBR,27.7008113861084,138,Liberia
675,LBY,45.78433990478516,111,Libya
676,LKA,60.97425079345703,52,Sri Lanka
677,LSO,40.744815826416016,118,Lesotho
678,LTU,62.47502517700195,44,Lithuania
679,LUX,67.06654357910156,30,Luxembourg
680,LVA,65.32258605957031,34,Latvia
681,MAR,40.01633834838867,120,Morocco
682,MDA,61.66430282592773,47,Moldova
683,MDG,32.68748092651367,131,Madagascar
684,MEX,60.56664657592773,57,Mexico
685,MKD,64.03602600097656,38,Macedonia
686,MLI,22.034067153930664,147,Mali
687,MLT,60.54840850830078,58,Malta
688,MNE,59.40386199951172,65,Montenegro
689,MNG,61.37586975097656,48,Mongolia
690,MOZ,30.375730514526367,135,Mozambique
691,MRT,31.254152297973636,133,Mauritania
692,MUS,59.68223190307617,63,Mauritius
693,MWI,38.431297302246094,124,Malawi
694,MYS,69.82086181640625,25,Malaysia
695,NAM,46.4725341796875,110,Namibia
696,NER,18.047697067260746,149,Niger
697,NGA,41.3897590637207,117,Nigeria
698,NIC,49.12708282470703,104,Nicaragua
699,NLD,82.06884002685547,1,Netherlands
700,NOR,78.69286346435547,7,Norway
701,NPL,38.952178955078125,123,Nepal
702,NZL,75.13238525390625,16,New Zealand
703,OMN,56.553165435791016,75,Oman
704,PAK,36.63445281982422,127,Pakistan
705,PAN,60.32661819458008,59,Panama
706,PER,52.51461410522461,91,Peru
707,PHL,57.280521392822266,70,Philippines
708,POL,65.4735107421875,32,Poland
709,PRT,60.91463088989258,53,Portugal
710,PRY,51.61788940429688,100,Paraguay
711,QAT,52.33773040771485,93,Qatar
712,ROU,60.88177490234375,54,Romania
713,RUS,67.52093505859375,29,Russia
714,RWA,41.9019889831543,116,Rwanda
715,SAU,53.57790756225586,86,Saudi Arabia
716,SCG,62.95573043823242,42,Serbia
717,SDN,25.64041328430176,142,Sudan
718,SEN,32.825199127197266,130,Senegal
719,SGP,78.72545623779297,6,Singapore
720,SLE,25.520410537719727,143,Sierra Leone
721,SLV,52.22833633422852,95,El Salvador
722,SUR,58.72753143310547,67,Suriname
723,SVK,67.64590454101562,28,Slovakia
724,SVN,69.30559539794922,26,Slovenia
725,SWE,78.4555435180664,9,Sweden
726,SWZ,47.92803955078125,109,Swaziland
727,TCD,23.473464965820312,146,Chad
728,TGO,33.072776794433594,129,Togo
729,THA,61.01738357543945,51,Thailand
730,TJK,61.225284576416016,50,Tajikistan
731,TTO,61.269779205322266,49,Trinidad and Tobago
732,TUN,52.7353401184082,90,Tunisia
733,TUR,55.29175567626953,78,Turkey
734,TZA,43.450077056884766,114,Tanzania
735,UGA,39.232948303222656,122,Uganda
736,UKR,62.43310546875,45,Ukraine
737,URY,57.61344528198242,69,Uruguay
738,USA,79.16339874267578,4,United States
739,VEN,55.015403747558594,82,Venezuela
740,VNM,60.20625686645508,60,Vietnam
741,YEM,25.913009643554688,141,Yemen
742,ZAF,56.57994079589844,74,South Africa
743,ZMB,44.57008361816406,113,Zambia
744,ZWE,51.67635726928711,98,Zimbabwe
745,AFG,28.35613822937012,139,Afghanistan
746,AGO,33.617225646972656,128,Angola
747,ALB,56.06840896606445,75,Albania
748,ARE,59.87482070922852,63,United Arab Emirates
749,ARG,55.216407775878906,80,Argentina
750,ARM,61.24589920043945,52,Armenia
751,AUS,79.40956115722656,3,Australia
