,isocode,heal,rank_heal,country
916,CAN,80.45295715332031,18,Canada
917,CHE,84.35450744628906,1,Switzerland
918,CHL,74.80606079101562,53,Chile
919,CHN,76.36915588378906,41,China
920,CIV,54.71025848388672,137,Ivory Coast
921,CMR,59.5672492980957,120,Cameroon
922,COD,54.77742385864258,136,Democratic Republic of Congo
923,COG,56.43035125732422,133,Congo
924,COL,73.39677429199219,62,Colombia
925,COM,58.77613830566406,128,Comoros
926,CRI,78.14715576171875,34,Costa Rica
927,CYP,76.98542785644531,39,Cyprus
928,CZE,77.73746490478516,37,Czech Republic
929,DEU,81.33776092529297,13,Germany
930,DJI,62.57385635375977,114,Djibouti
931,DNK,80.31392669677734,19,Denmark
932,DOM,70.9367446899414,78,Dominican Republic
933,DZA,74.02108001708984,56,Algeria
934,ECU,75.22216033935547,48,Ecuador
935,EGY,68.55752563476561,95,Egypt
936,ESP,79.75953674316406,22,Spain
937,EST,73.35499572753906,63,Estonia
938,ETH,56.05066299438477,134,Ethiopia
939,FIN,79.45015716552734,26,Finland
940,FRA,81.55858612060547,11,France
941,GAB,58.92489624023438,126,Gabon
942,GBR,80.27369689941406,20,United Kingdom
943,GEO,70.08341217041016,82,Georgia
944,GHA,60.12784194946289,119,Ghana
945,GIN,49.27677917480469,147,Guinea
946,GRC,75.4810791015625,46,Greece
947,GTM,68.41963958740234,96,Guatemala
948,GUY,69.22123718261719,88,Guyana
949,HKG,81.77735900878906,9,Hong Kong
950,HND,70.92526245117188,79,Honduras
951,HRV,73.8480224609375,58,Croatia
952,HUN,74.81986236572266,52,Hungary
953,IDN,70.94931030273438,77,Indonesia
954,IND,61.62162399291992,115,India
955,IRL,78.99717712402344,30,Ireland
956,IRN,69.85140991210939,84,Iran
957,IRQ,59.24623107910156,122,Iraq
958,ISL,81.1214599609375,15,Iceland
959,ISR,79.04800415039062,29,Israel
960,ITA,79.15035247802734,28,Italy
961,JAM,73.5421142578125,61,Jamaica
962,JOR,75.58489227294922,45,Jordan
963,JPN,83.62261962890625,4,Japan
964,KAZ,70.07682037353516,83,Kazakhstan
965,KEN,58.26599502563477,131,Kenya
966,KGZ,71.50448608398438,73,Kyrgyzstan
967,KHM,63.87124633789063,110,Cambodia
968,KOR,81.1831283569336,14,South Korea
969,KWT,78.5051040649414,32,Kuwait
970,LAO,67.24595642089844,100,Laos
971,LBN,68.24273681640625,98,Lebanon
972,LBR,53.49545288085938,144,Liberia
973,LBY,73.7557601928711,59,Libya
974,LKA,77.25759887695312,38,Sri Lanka
975,LSO,60.35789108276367,118,Lesotho
976,LTU,70.95780944824219,76,Lithuania
977,LUX,83.80107116699219,3,Luxembourg
