isocode,sub-region,sub-region-score,Year,Prosperity Growth
MAR,Northern Africa,-0.17422699802136268,2009,0.5772963629828567
MDA,Eastern Europe,0.266389516800169,2009,-0.2568219502766951
MDG,Sub-Saharan Africa,0.1966062009358823,2009,-1.085598839653862
MEX,Latin America and the Caribbean,0.19918489028372544,2009,-0.679271274142792
MKD,Southern Europe,0.25529253520662787,2009,0.4833971659342424
MLI,Sub-Saharan Africa,0.1966062009358823,2009,0.796514299180771
MLT,Southern Europe,0.25529253520662787,2009,0.10906134711372317
MNE,Southern Europe,0.25529253520662787,2009,0.7128804524739536
MNG,Eastern Asia,0.10904252794053804,2009,0.17146216498480982
MOZ,Sub-Saharan Africa,0.1966062009358823,2009,-0.1707305908203125
MRT,Sub-Saharan Africa,0.1966062009358823,2009,1.4695966508653413
MUS,Sub-Saharan Africa,0.1966062009358823,2009,0.5157640245225679
MWI,Sub-Saharan Africa,0.1966062009358823,2009,1.2427308824327241
MYS,South-eastern Asia,0.3039828027997696,2009,0.25848558213975537
NAM,Sub-Saharan Africa,0.1966062009358823,2009,0.6949361165364536
NER,Sub-Saharan Africa,0.1966062009358823,2009,1.0374503665500185
NGA,Sub-Saharan Africa,0.1966062009358823,2009,-2.039564768473305
NIC,Latin America and the Caribbean,0.19918489028372544,2009,-0.6812956068250884
NLD,Western Europe,0.15470879310383043,2009,0.31465318467881787
NOR,Northern Europe,0.19307814704047296,2009,0.5892232259114536
NPL,Southern Asia,0.2417285253131201,2009,-1.3050041198730469
NZL,Australia and New Zealand,0.0062095399886845015,2009,0.22055901421441604
OMN,Western Asia,0.11970141955784389,2009,0.5326182047526018
PAK,Southern Asia,0.2417285253131201,2009,-0.1107639736599424
PAN,Latin America and the Caribbean,0.19918489028372544,2009,0.9849374559190522
PER,Latin America and the Caribbean,0.19918489028372544,2009,0.38719346788194287
PHL,South-eastern Asia,0.3039828027997696,2009,-0.28775872124565893
POL,Eastern Europe,0.266389516800169,2009,0.7829157511393277
PRT,Southern Europe,0.25529253520662787,2009,0.030539194742829068
PRY,Latin America and the Caribbean,0.19918489028372544,2009,0.9553345574272996
QAT,Western Asia,0.11970141955784389,2009,0.7978091769748303
ROU,Eastern Europe,0.266389516800169,2009,-0.04070621066622948
RUS,Eastern Europe,0.266389516800169,2009,-0.30208545260958886
